iter	Logloss
0	0.6433709444
1	0.5994368123
2	0.5602497551
3	0.5260976599
4	0.4956781899
5	0.4691472694
6	0.4453271266
7	0.4244994129
8	0.4060137402
9	0.3896272677
10	0.3750231392
11	0.3622370421
12	0.35052107
13	0.3404534469
14	0.3314906466
15	0.3233394947
16	0.3161303949
17	0.3096888919
18	0.3039198335
19	0.2988381858
20	0.2941645324
21	0.2900640245
22	0.2861325523
23	0.2828288365
24	0.2797653792
25	0.2769735384
26	0.274280435
27	0.2719034949
28	0.2697556199
29	0.267935066
30	0.2662994964
31	0.2645816347
32	0.2631250079
33	0.2618164575
34	0.2605223933
35	0.2594879819
36	0.2584914422
37	0.2575287062
38	0.2567397125
39	0.2559039154
40	0.2551535768
41	0.2544609737
42	0.2538127966
43	0.2532486288
44	0.2526706871
45	0.2521739803
46	0.2516726941
47	0.2512536733
48	0.2508244743
49	0.2503929765
50	0.2500214601
51	0.2496888555
52	0.2493495715
53	0.2491007769
54	0.2488142882
55	0.2485428431
56	0.2482777956
57	0.248007979
58	0.2477991371
59	0.2475807684
60	0.247349966
61	0.2471702204
62	0.2469628125
63	0.2467538711
64	0.2465791748
65	0.2464182156
66	0.2462396837
67	0.246066162
68	0.2459215329
69	0.2457872063
70	0.2456593022
71	0.2455290434
72	0.2454034366
73	0.2453079993
74	0.2451987962
75	0.2450897238
76	0.2449658336
77	0.2448613735
78	0.2447426275
79	0.2446389742
80	0.244534673
81	0.2444346339
82	0.2443385406
83	0.2442458782
84	0.2441673719
85	0.244043809
86	0.2439524081
87	0.2438612964
88	0.2437726591
89	0.243701792
90	0.2436330425
91	0.2435649445
92	0.2435004006
93	0.2433913401
94	0.2433075975
95	0.2432431099
96	0.2431778909
97	0.2430663047
98	0.2429864307
99	0.242915345
100	0.2428232219
101	0.2427392685
102	0.2426639618
103	0.2425898612
104	0.2425329747
105	0.2424545028
106	0.2423853023
107	0.2423323328
108	0.2422458435
109	0.2421696151
110	0.2420907269
111	0.2419891786
112	0.2419282046
113	0.2418616533
114	0.2418128718
115	0.2417464563
116	0.241690679
117	0.2416105862
118	0.2415483362
119	0.2414952782
120	0.2414487091
121	0.2413725633
122	0.2413245376
123	0.241263042
124	0.2412008867
125	0.2411291346
126	0.2410651521
127	0.2409952478
128	0.2409230696
129	0.2408767925
130	0.2408423799
131	0.2407976165
132	0.2407366893
133	0.2406716174
134	0.2405854693
135	0.2405195336
136	0.2404515812
137	0.2404008542
138	0.2403250593
139	0.2402787223
140	0.2401856931
141	0.240128884
142	0.2400446437
143	0.2399850251
144	0.2399391417
145	0.2398649005
146	0.2398163047
147	0.2397531908
148	0.239661118
149	0.2396247309
150	0.2395732041
151	0.2395215828
152	0.2394643153
153	0.239420073
154	0.2393630464
155	0.2392849763
156	0.2392421835
157	0.2391933034
158	0.2391402244
159	0.239097376
160	0.2390442718
161	0.2389840482
162	0.2389255038
163	0.2388817819
164	0.2388091153
165	0.2387475939
166	0.2386944465
167	0.2386544201
168	0.2386137061
169	0.2385531647
170	0.2385233092
171	0.2384683871
172	0.2384247519
173	0.2383591541
174	0.2383120037
175	0.238231731
176	0.2381628536
177	0.2381253088
178	0.2380867425
179	0.238016611
180	0.2379693484
181	0.2379033005
182	0.2378421734
183	0.2377971997
184	0.237740059
185	0.2376748368
186	0.2376150192
187	0.2375597675
188	0.2375129212
189	0.2374509341
190	0.2374181059
191	0.2373615884
192	0.237326691
193	0.2372685208
194	0.2372441397
195	0.2372114763
196	0.237171934
197	0.2371159311
198	0.2370590609
199	0.2370038645
200	0.2369593844
201	0.236911355
202	0.2368429772
203	0.2367807905
204	0.2367313371
205	0.2366896849
206	0.2366128443
207	0.2365747228
208	0.2365171326
209	0.2364694404
210	0.2364032687
211	0.2363563073
212	0.2363336358
213	0.2362928924
214	0.2362539691
215	0.2362005406
216	0.236157577
217	0.2360984462
218	0.2360385286
219	0.2360017081
220	0.2359462317
221	0.2358996163
222	0.2358517309
223	0.2358131094
224	0.235768954
225	0.23571759
226	0.2356551225
227	0.2356193685
228	0.2355910261
229	0.2355324344
230	0.2354715183
231	0.2354250765
232	0.2353738247
233	0.2353266012
234	0.2352862093
235	0.235237788
236	0.2351976785
237	0.2351511176
238	0.2351064082
239	0.235067748
240	0.2350026504
241	0.2349542156
242	0.2349150518
243	0.2348732941
244	0.2348342558
245	0.2347671869
246	0.2347156804
247	0.2346804005
248	0.2346211068
249	0.2345808035
250	0.2345333746
251	0.2344658553
252	0.2344380576
253	0.2344014317
254	0.2343461191
255	0.234306603
256	0.234268012
257	0.2342207148
258	0.2341766187
259	0.2341366902
260	0.2341034999
261	0.2340664691
262	0.2340331608
263	0.2339918651
264	0.2339472211
265	0.2339112052
266	0.2338829338
267	0.2338370547
268	0.2337877648
269	0.2337385024
270	0.2336860045
271	0.2336339312
272	0.2336022604
273	0.2335312558
274	0.2335001401
275	0.2334552057
276	0.2334149793
277	0.2333473645
278	0.2333024882
279	0.2332643765
280	0.2332172022
281	0.2331749751
282	0.2331418251
283	0.2331076823
284	0.2330526069
285	0.2330066758
286	0.232974082
287	0.2329332723
288	0.2328994234
289	0.2328495336
290	0.2327829112
291	0.2327234748
292	0.2326990571
293	0.2326491749
294	0.2326098544
295	0.2325623701
296	0.2325064655
297	0.232471722
298	0.2324292605
299	0.2323668722
300	0.2323078688
301	0.232269774
302	0.2322311634
303	0.2321867652
304	0.2321202289
305	0.232094699
306	0.2320430582
307	0.2320161633
308	0.2319819396
309	0.2319310789
310	0.2318925611
311	0.2318469271
312	0.2318069849
313	0.2317692918
314	0.2317215999
315	0.2316740494
316	0.231597089
317	0.2315448822
318	0.2314911886
319	0.2314509878
320	0.2313971308
321	0.2313548395
322	0.2313117776
323	0.2312532273
324	0.2312073321
325	0.2311782354
326	0.2311463366
327	0.2311119719
328	0.2310648374
329	0.2310194594
330	0.2309940164
331	0.2309536916
332	0.2309045396
333	0.2308906811
334	0.230841447
335	0.2307861057
336	0.2307525492
337	0.2307203329
338	0.2306888334
339	0.2306218872
340	0.2305595102
341	0.2305330987
342	0.2304610506
343	0.2304272017
344	0.2303982832
345	0.2303667698
346	0.2302941592
347	0.2302528158
348	0.2302105774
349	0.2301440481
350	0.2301130765
351	0.2300430685
352	0.2300169765
353	0.2299576956
354	0.2299021909
355	0.2298394881
356	0.2297934469
357	0.2297454608
358	0.2296809961
359	0.2296440225
360	0.2295889172
361	0.2295432483
362	0.2295014878
363	0.2294380915
364	0.2293909754
365	0.2293211779
366	0.2292616792
367	0.2292226193
368	0.2291563731
369	0.2291289918
370	0.2290894527
371	0.2290428236
372	0.229001662
373	0.2289626939
374	0.2288964901
375	0.2288435521
376	0.2287961604
377	0.22874429
378	0.2286670199
379	0.2286312957
380	0.2286003276
381	0.2285669065
382	0.2285318315
383	0.2284835308
384	0.2284454666
385	0.2284022605
386	0.2283412702
387	0.2283080826
388	0.2282428917
389	0.2282027282
390	0.2281523514
391	0.2281141877
392	0.2280406892
393	0.2279990519
394	0.2279690725
395	0.227900981
396	0.2278638426
397	0.2278260293
398	0.2277776638
399	0.2277416135
400	0.2276764096
401	0.2276501751
402	0.2275879674
403	0.2275562201
404	0.22754401
405	0.2275025651
406	0.2274618434
407	0.2274190094
408	0.2273722122
409	0.2273245512
410	0.2272671109
411	0.2272327799
412	0.227193219
413	0.2271644418
414	0.2271332493
415	0.2271107225
416	0.227077291
417	0.2270373249
418	0.2270076196
419	0.2269728129
420	0.2269268858
421	0.2268784874
422	0.2268372887
423	0.2268011128
424	0.2267619086
425	0.2267367526
426	0.2267077117
427	0.226653157
428	0.2265974985
429	0.2265656497
430	0.2265411734
431	0.2265061709
432	0.2264604768
433	0.2264344119
434	0.2263698874
435	0.2263146766
436	0.226269936
437	0.2262369542
438	0.2262042792
439	0.2261649691
440	0.2261155556
441	0.2261044386
442	0.2260630619
443	0.2260176887
444	0.2259529352
445	0.2259263284
446	0.2258982049
447	0.2258585924
448	0.2258292323
449	0.22578249
450	0.2257442887
451	0.2256987706
452	0.2256504934
453	0.2256019048
454	0.2255730578
455	0.2255152026
456	0.2254866723
457	0.2254582618
458	0.2254306381
459	0.2253980542
460	0.2253646879
461	0.2253389075
462	0.2252851918
463	0.2252353749
464	0.2251992324
465	0.22515538
466	0.2251064309
467	0.2250678626
468	0.2250406297
469	0.2249831426
470	0.2249508466
471	0.224909137
472	0.2248776341
473	0.2248540848
474	0.2248155784
475	0.2247779899
476	0.2247250242
477	0.2247013468
478	0.2246536739
479	0.2246078651
480	0.22457745
481	0.2245480068
482	0.2245151894
483	0.2244804402
484	0.2244304237
485	0.2244037523
486	0.2243523226
487	0.2242986809
488	0.2242747181
489	0.2242261004
490	0.2241917997
491	0.2241459787
492	0.2241093671
493	0.2240716016
494	0.2240261832
495	0.2239891647
496	0.2239623813
497	0.2239127562
498	0.2238466619
499	0.2238218433
500	0.223788674
501	0.2237571464
502	0.2237194105
503	0.2236952115
504	0.2236493122
505	0.2236014303
506	0.2235692246
507	0.2235301589
508	0.2234895276
509	0.2234378941
510	0.2234056693
511	0.2233715989
512	0.2233019449
513	0.223261047
514	0.223222273
515	0.223189845
516	0.2231566074
517	0.2231186657
518	0.2230793905
519	0.2230387027
520	0.2230165962
521	0.2229647647
522	0.2229339991
523	0.2228919118
524	0.2228702557
525	0.2228289261
526	0.2227990211
527	0.2227535782
528	0.2226931873
529	0.2226494015
530	0.2226126645
531	0.2225657627
532	0.2225421064
533	0.2225094169
534	0.2224736673
535	0.2224330864
536	0.2223961955
537	0.222373569
538	0.2223450759
539	0.2223217817
540	0.222289618
541	0.2222545784
542	0.222206407
543	0.2221404429
544	0.2220957323
545	0.2220600189
546	0.2220272298
547	0.221993107
548	0.2219551153
549	0.2219256603
550	0.2219075146
551	0.2218730947
552	0.2218309087
553	0.2217914812
554	0.2217656732
555	0.2217344318
556	0.2216988378
557	0.2216760121
558	0.2216396771
559	0.2216102919
560	0.221588385
561	0.2215465477
562	0.2215290751
563	0.2214752273
564	0.2214448691
565	0.2214055007
566	0.2213719377
567	0.2213463966
568	0.2213054228
569	0.221267296
570	0.2212118265
571	0.2211746262
572	0.2211507422
573	0.2210972492
574	0.2210666066
575	0.2210279378
576	0.2209946231
577	0.2209531375
578	0.2209164242
579	0.2208930033
580	0.220870204
581	0.2208082979
582	0.2207692085
583	0.2207174257
584	0.2206946029
585	0.2206775564
586	0.2206476836
587	0.2206177559
588	0.2205743207
589	0.2205367871
590	0.2204817713
591	0.2204639459
592	0.2204329268
593	0.2203980213
594	0.2203586271
595	0.2203090842
596	0.2202419695
597	0.2202198335
598	0.2201982775
599	0.2201453936
600	0.2200992681
601	0.220063248
602	0.2200118176
603	0.2199822211
604	0.2199270861
605	0.2198980147
606	0.2198387511
607	0.219799766
608	0.219757954
609	0.2196864891
610	0.2196469253
611	0.2196163932
612	0.2195333953
613	0.2195098643
614	0.2194810013
615	0.2194662059
616	0.2194059687
617	0.2193741483
618	0.2193586287
619	0.2193259749
620	0.21928419
621	0.2192411153
622	0.2191868577
623	0.2191333391
624	0.2191018063
625	0.219076774
626	0.2190374896
627	0.218988607
628	0.2189536
629	0.2188885098
630	0.2188694443
631	0.2188347427
632	0.2187857928
633	0.2187336039
634	0.2187150526
635	0.2186805122
636	0.218629319
637	0.2185929637
638	0.2185643417
639	0.2185186557
640	0.218472971
641	0.2184405423
642	0.2184077009
643	0.2183764533
644	0.2183428892
645	0.2183164508
646	0.2182820474
647	0.2182566132
648	0.2182287366
649	0.2182068257
650	0.2181582147
651	0.2181014654
652	0.218084816
653	0.2180402125
654	0.2180154238
655	0.2179962876
656	0.2179414127
657	0.2179084042
658	0.2178463542
659	0.2178224019
660	0.2177704981
661	0.2177431672
662	0.2177025177
663	0.2176831324
664	0.2176463428
665	0.2176086558
666	0.2175898621
667	0.2175508164
668	0.2175079125
669	0.2174704119
670	0.2174363587
671	0.2174143426
672	0.2173732425
673	0.2173597192
674	0.2173029172
675	0.2172703517
676	0.2172249077
677	0.217174926
678	0.217142
679	0.2170888437
680	0.217022705
681	0.2169898459
682	0.2169286256
683	0.2168756211
684	0.2168254238
685	0.2167750244
686	0.2167335532
687	0.2166964812
688	0.2166600592
689	0.2166286793
690	0.2165680902
691	0.2165355677
692	0.2165205747
693	0.2164914597
694	0.2164560796
695	0.2164178157
696	0.2163987189
697	0.2163662858
698	0.2163104909
699	0.2162593085
700	0.2162307886
701	0.216197159
702	0.2161590614
703	0.2161285909
704	0.2160848295
705	0.2160541811
706	0.2160237036
707	0.2159957972
708	0.2159681323
709	0.2159392629
710	0.2159096763
711	0.2158833499
712	0.2158493034
713	0.2158118508
714	0.2157725806
715	0.2157197931
716	0.215688204
717	0.2156479164
718	0.2155884895
719	0.2155545321
720	0.2155350631
